timestamp,message
1714073929053,"{'inputMode': 'Text', 'sessionId': '035527339877923', 'inputTranscript': 'yes', 'interpretations': [{'interpretationSource': 'Lex', 'nluConfidence': 1.0, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}, 'state': 'InProgress', 'confirmationState': 'Confirmed'}}, {'interpretationSource': 'Lex', 'intent': {'name': 'FallbackIntent', 'slots': {}, 'state': 'InProgress', 'confirmationState': 'None'}}], 'bot': {'name': 'Mybot', 'version': 'DRAFT', 'localeId': 'en_US', 'id': 'OC2JM2BVQB', 'aliasId': 'TSTALIASID', 'aliasName': 'TestBotAlias'}, 'responseContentType': 'text/plain; charset=utf-8', 'sessionState': {'originatingRequestId': 'b55c73c6-e1a4-4fb4-a2d4-d9da1aaa81d6', 'sessionAttributes': {}, 'activeContexts': [], 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}, 'state': 'InProgress', 'confirmationState': 'Confirmed'}}, 'transcriptions': [{'resolvedContext': {'intent': 'BurgerBee'}, 'resolvedSlots': {}, 'transcriptionConfidence': 1.0, 'transcription': 'yes'}], 'messageVersion': '1.0', 'invocationSource': 'DialogCodeHook'}
"
1714073929053,"{'sessionState': {'dialogAction': {'type': 'Delegate'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}}}}
"
1714073929055,"END RequestId: da2d025b-078d-416e-903b-4edc7ed83315
"
1714073929055,"REPORT RequestId: da2d025b-078d-416e-903b-4edc7ed83315	Duration: 1.78 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 35 MB	
"
1714073929091,"START RequestId: 241ee51b-6d32-4fe3-88ff-e23c65d289ea Version: $LATEST
"
1714073929092,"{'inputMode': 'Text', 'sessionId': '035527339877923', 'inputTranscript': 'yes', 'interpretations': [{'interpretationSource': 'Lex', 'nluConfidence': 1.0, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}, 'state': 'ReadyForFulfillment', 'confirmationState': 'Confirmed'}}, {'interpretationSource': 'Lex', 'intent': {'name': 'FallbackIntent', 'slots': {}, 'state': 'ReadyForFulfillment', 'confirmationState': 'None'}}], 'bot': {'name': 'Mybot', 'version': 'DRAFT', 'localeId': 'en_US', 'id': 'OC2JM2BVQB', 'aliasId': 'TSTALIASID', 'aliasName': 'TestBotAlias'}, 'responseContentType': 'text/plain; charset=utf-8', 'sessionState': {'originatingRequestId': 'b55c73c6-e1a4-4fb4-a2d4-d9da1aaa81d6', 'sessionAttributes': {}, 'activeContexts': [], 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}, 'state': 'ReadyForFulfillment', 'confirmationState': 'Confirmed'}}, 'transcriptions': [{'resolvedContext': {'intent': 'BurgerBee'}, 'resolvedSlots': {}, 'transcriptionConfidence': 1.0, 'transcription': 'yes'}], 'messageVersion': '1.0', 'invocationSource': 'FulfillmentCodeHook'}
"
1714073929092,"{'sessionState': {'dialogAction': {'type': 'Close'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}, 'state': 'Fulfilled'}}, 'messages': [{'contentType': 'PlainText', 'content': 'Yey! Your order is confirmed.'}]}
"
1714073929096,"END RequestId: 241ee51b-6d32-4fe3-88ff-e23c65d289ea
"
1714073929096,"REPORT RequestId: 241ee51b-6d32-4fe3-88ff-e23c65d289ea	Duration: 4.71 ms	Billed Duration: 5 ms	Memory Size: 128 MB	Max Memory Used: 36 MB	
"
1714073937202,"START RequestId: 2b5b54ec-e3f1-4d59-9c0d-08407bdec468 Version: $LATEST
"
1714073937202,"{'inputMode': 'Text', 'sessionId': '035527339877923', 'inputTranscript': 'order burger', 'interpretations': [{'interpretationSource': 'Lex', 'nluConfidence': 1.0, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': None, 'BurgerFranchise': None, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}}, {'interpretationSource': 'Lex', 'intent': {'name': 'FallbackIntent', 'slots': {}, 'state': 'InProgress', 'confirmationState': 'None'}}], 'bot': {'name': 'Mybot', 'version': 'DRAFT', 'localeId': 'en_US', 'id': 'OC2JM2BVQB', 'aliasId': 'TSTALIASID', 'aliasName': 'TestBotAlias'}, 'responseContentType': 'text/plain; charset=utf-8', 'proposedNextState': {'prompt': {'attempt': 'Retry1'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': None, 'BurgerFranchise': None, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}, 'dialogAction': {'type': 'ElicitSlot', 'slotToElicit': 'BurgerSize'}}, 'sessionState': {'originatingRequestId': 'b55c73c6-e1a4-4fb4-a2d4-d9da1aaa81d6', 'sessionAttributes': {}, 'activeContexts': [], 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': None, 'BurgerFranchise': None, 'BurgerType': None}, 'state': 'InProgress', 'confirmationState': 'None'}}, 'transcriptions': [{'resolvedContext': {'intent': 'BurgerBee'}, 'resolvedSlots': {}, 'transcriptionConfidence': 1.0, 'transcription': 'order burger'}], 'messageVersion': '1.0', 'invocationSource': 'DialogCodeHook'}
"
1714073937202,"Validating BurgerSize Slot
"
1714073937202,"{'sessionState': {'dialogAction': {'slotToElicit': 'BurgerSize', 'type': 'ElicitSlot'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': None, 'BurgerFranchise': None, 'BurgerType': None}}}}
"
1714073937203,"END RequestId: 2b5b54ec-e3f1-4d59-9c0d-08407bdec468
"
1714073937203,"REPORT RequestId: 2b5b54ec-e3f1-4d59-9c0d-08407bdec468	Duration: 1.53 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 36 MB	
"
1714073940305,"START RequestId: 07e98a58-add6-49b6-a8b1-d211f32e295c Version: $LATEST
"
